what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532524811059
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532524834164
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532524868272
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532524871915
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532524873282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532524877056
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532524878394
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532524888695
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532524892406
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532524892851
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532524895266
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532524898302
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532524900271
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532524905546
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532524906500
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532524916956
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1532525000486
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532525016508
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532525044624
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532525044639
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532525044639
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532525062113
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525065186
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532525069488
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532525069807
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1532525070000
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525071277
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1532525074565
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525079116
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525081234
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1532525083331
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532525091260
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525096351
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1532525098953
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532525102451
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532525104102
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525105105
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532525122464
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525125628
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525127363
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532525143269
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525145203
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525147230
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525149154
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525154977
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525156746
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532525157134
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532525161339
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532525164941
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1532525164945
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525165518
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532525174636
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532525184675
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1532525186986
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532525187545
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532525197102
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532525197639
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532525198304
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532529897649
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532529959184
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530025986
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532530031325
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1532530043145
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1532530043990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530067521
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530073800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530075751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530076788
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530078578
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530202076
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530234364
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530237947
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532530257146
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530269499
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530301375
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530301875
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530334906
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1532530344945
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530386692
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530393037
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1532530430064
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532530430782
error,log,,,"Internal Error",1532530432525
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1532530440001
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530450055
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530456614
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530457549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530459974
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530551204
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530557727
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532530588045
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532530595980
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530617566
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530619159
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532530641347
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532530646308
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532530646666
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532530662011
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532530671263
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530671465
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532530680621
