what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538431783
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538432732
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538437296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538439663
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538441353
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538442304
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538443821
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532538448003
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.open.editor",1532538448904
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538511209
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538514720
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532538523851
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532538525039
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532538525708
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538527671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538530119
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1532538530163
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1532538533336
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532538536062
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538584423
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538585569
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538586148
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538594608
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538601468
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538603489
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538607363
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538612442
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532538619031
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1532538642499
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1532538651781
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532538652120
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532538690997
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532538694097
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532540393658
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1532540398469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532540401717
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532540402996
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1532540404276
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532540411550
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532540419411
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532540424423
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532540545606
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1532540546212
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1532540549168
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1532540550899
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1532540552542
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532540559564
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1532540578159
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532540616722
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1532540616774
